lane1;lane2;lane3
0.0;0.0;0.0
0.058333333333333334;0.0;0.0
0.11666666666666667;0.075;0.0
0.15833333333333333;0.05;0.0
0.09166666666666666;0.041666666666666664;0.0
0.05;0.0;0.0
0.11666666666666667;0.0;0.0
0.175;0.0;0.0
0.10833333333333334;0.075;0.0
0.09166666666666666;0.05;0.0
0.06666666666666667;0.025;0.0
0.06666666666666667;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.06666666666666667;0.05
0.0;0.125;0.175
0.0;0.05;0.09166666666666666
0.0;0.0;0.0
0.0;0.0;0.0
0.075;0.09166666666666666;0.0
0.08333333333333333;0.16666666666666666;0.125
0.058333333333333334;0.075;0.05
0.0;0.06666666666666667;0.016666666666666666
0.06666666666666667;0.1;0.16666666666666666
0.16666666666666666;0.35833333333333334;0.23333333333333334
0.25833333333333336;0.3333333333333333;0.1
0.2833333333333333;0.35;0.058333333333333334
0.275;0.49166666666666664;0.15
0.275;0.45;0.23333333333333334
0.2833333333333333;0.39166666666666666;0.35833333333333334
0.11666666666666667;0.23333333333333334;0.2
0.11666666666666667;0.16666666666666666;0.2833333333333333
0.10833333333333334;0.125;0.11666666666666667
0.16666666666666666;0.21666666666666667;0.025
0.15;0.5666666666666667;0.275
0.16666666666666666;0.38333333333333336;0.1
0.008333333333333333;0.10833333333333334;0.041666666666666664
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.008333333333333333;0.0
0.0;0.0;0.0
